# Freq(Hz) PhaseDiff(rad)
7.000000000000000000e+07 2.822561462884928485e+00
7.001000000000000000e+07 2.821157171181642553e+00
7.002000000000000000e+07 2.819757029947322469e+00
7.003000000000000000e+07 2.818336910781860549e+00
7.004000000000000000e+07 2.816899316090457628e+00
7.005000000000000000e+07 2.815466137843153582e+00
7.006000000000000000e+07 2.814037374190777374e+00
7.007000000000000000e+07 2.812573060071243081e+00
7.008000000000000000e+07 2.811077815915337563e+00
7.009000000000000000e+07 2.809587989203309988e+00
7.010000000000000000e+07 2.808103572249356805e+00
7.011000000000000000e+07 2.806657265456835582e+00
7.012000000000000000e+07 2.805245977021318282e+00
7.013000000000000000e+07 2.803840205943514352e+00
7.014000000000000000e+07 2.802439940825700138e+00
7.015000000000000000e+07 2.800946604517873251e+00
7.016000000000000000e+07 2.799370402710855021e+00
7.017000000000000000e+07 2.797800339627686483e+00
7.018000000000000000e+07 2.796236404245294072e+00
7.019000000000000000e+07 2.794766225636624579e+00
7.020000000000000000e+07 2.793380531173691672e+00
7.021000000000000000e+07 2.792000231107503616e+00
7.022000000000000000e+07 2.790625314268170509e+00
7.023000000000000000e+07 2.789137407019346426e+00
7.024000000000000000e+07 2.787547621265735742e+00
7.025000000000000000e+07 2.785962160105152741e+00
7.026000000000000000e+07 2.784381026955796479e+00
7.027000000000000000e+07 2.782909436507867262e+00
7.028000000000000000e+07 2.781536389237649232e+00
7.029000000000000000e+07 2.780167286459916731e+00
7.030000000000000000e+07 2.778802127680263911e+00
7.031000000000000000e+07 2.777391924771497766e+00
7.032000000000000000e+07 2.775941769281842220e+00
7.033000000000000000e+07 2.774495629519062589e+00
7.034000000000000000e+07 2.773053506666046886e+00
7.035000000000000000e+07 2.771520726678741831e+00
7.036000000000000000e+07 2.769907309045178234e+00
7.037000000000000000e+07 2.768298151759202241e+00
7.038000000000000000e+07 2.766693259394288784e+00
7.039000000000000000e+07 2.765106622126130453e+00
7.040000000000000000e+07 2.763537012436385609e+00
7.041000000000000000e+07 2.761971987629653125e+00
7.042000000000000000e+07 2.760411548768657131e+00
7.043000000000000000e+07 2.758989533035707709e+00
7.044000000000000000e+07 2.757691489747920333e+00
7.045000000000000000e+07 2.756397694391899300e+00
7.046000000000000000e+07 2.755108142365679136e+00
7.047000000000000000e+07 2.753884974761172000e+00
7.048000000000000000e+07 2.752721496803632206e+00
7.049000000000000000e+07 2.751562203724536193e+00
7.050000000000000000e+07 2.750407087848557364e+00
7.051000000000000000e+07 2.749055644934602416e+00
7.052000000000000000e+07 2.747529258099642213e+00
7.053000000000000000e+07 2.746006637009940299e+00
7.054000000000000000e+07 2.744487786533690077e+00
7.055000000000000000e+07 2.742888259718564203e+00
7.056000000000000000e+07 2.741218429343342144e+00
7.057000000000000000e+07 2.739553869407546749e+00
7.058000000000000000e+07 2.737894579514079663e+00
7.059000000000000000e+07 2.736296444862628352e+00
7.060000000000000000e+07 2.734752938174360715e+00
7.061000000000000000e+07 2.733214229267610040e+00
7.062000000000000000e+07 2.731680316870996883e+00
7.063000000000000000e+07 2.730296923525056485e+00
7.064000000000000000e+07 2.729047511399494308e+00
7.065000000000000000e+07 2.727802495885856437e+00
7.066000000000000000e+07 2.726561869945599348e+00
7.067000000000000000e+07 2.725181368747417121e+00
7.068000000000000000e+07 2.723677757105263275e+00
7.069000000000000000e+07 2.722179226544708008e+00
7.070000000000000000e+07 2.720685772367809285e+00
7.071000000000000000e+07 2.719166911445353829e+00
7.072000000000000000e+07 2.717625920899851888e+00
7.073000000000000000e+07 2.716089760779879736e+00
7.074000000000000000e+07 2.714558429496018999e+00
7.075000000000000000e+07 2.713141431541782556e+00
7.076000000000000000e+07 2.711825336639269501e+00
7.077000000000000000e+07 2.710512922128268887e+00
7.078000000000000000e+07 2.709204187704387756e+00
7.079000000000000000e+07 2.707750916054981971e+00
7.080000000000000000e+07 2.706170615681051661e+00
7.081000000000000000e+07 2.704594469554318259e+00
7.082000000000000000e+07 2.703022481858500914e+00
7.083000000000000000e+07 2.701484913005795629e+00
7.084000000000000000e+07 2.699977968083353996e+00
7.085000000000000000e+07 2.698474846026826413e+00
7.086000000000000000e+07 2.696975550813445643e+00
7.087000000000000000e+07 2.695509796904556943e+00
7.088000000000000000e+07 2.694074024945330770e+00
7.089000000000000000e+07 2.692642008506003215e+00
7.090000000000000000e+07 2.691213749966874680e+00
7.091000000000000000e+07 2.689762062726452019e+00
7.092000000000000000e+07 2.688290728118161166e+00
7.093000000000000000e+07 2.686823869211143023e+00
7.094000000000000000e+07 2.685361484750955707e+00
7.095000000000000000e+07 2.683828600165625300e+00
7.096000000000000000e+07 2.682234336256029028e+00
7.097000000000000000e+07 2.680644714065230527e+00
7.098000000000000000e+07 2.679059735070208337e+00
7.099000000000000000e+07 2.677505210905034350e+00
7.100000000000000000e+07 2.675977813839444774e+00
7.101000000000000000e+07 2.674454795220513326e+00
7.102000000000000000e+07 2.672936156166353605e+00
7.103000000000000000e+07 2.671478033597794788e+00
7.104000000000000000e+07 2.670073689196209354e+00
7.105000000000000000e+07 2.668673870949919813e+00
7.106000000000000000e+07 2.667278575242352456e+00
7.107000000000000000e+07 2.665930559600981020e+00
7.108000000000000000e+07 2.664624260482625573e+00
7.109000000000000000e+07 2.663322088168154078e+00
7.110000000000000000e+07 2.662024039141086540e+00
7.111000000000000000e+07 2.660711359532731191e+00
7.112000000000000000e+07 2.659386158042628345e+00
7.113000000000000000e+07 2.658064789370718106e+00
7.114000000000000000e+07 2.656747252478011578e+00
7.115000000000000000e+07 2.655317030050068805e+00
7.116000000000000000e+07 2.653788650401432303e+00
7.117000000000000000e+07 2.652264023063810594e+00
7.118000000000000000e+07 2.650743153038991995e+00
7.119000000000000000e+07 2.649242701023239110e+00
7.120000000000000000e+07 2.647761176158481611e+00
7.121000000000000000e+07 2.646284210388298419e+00
7.122000000000000000e+07 2.644811802183299143e+00
7.123000000000000000e+07 2.643273050111172306e+00
7.124000000000000000e+07 2.641677032623416466e+00
7.125000000000000000e+07 2.640085638035720716e+00
7.126000000000000000e+07 2.638498868009588438e+00
7.127000000000000000e+07 2.636935263582408151e+00
7.128000000000000000e+07 2.635392087417642859e+00
7.129000000000000000e+07 2.633853074376238279e+00
7.130000000000000000e+07 2.632318227445664238e+00
7.131000000000000000e+07 2.630855903144074581e+00
7.132000000000000000e+07 2.629456898479531013e+00
7.133000000000000000e+07 2.628061601046223661e+00
7.134000000000000000e+07 2.626670012521514774e+00
7.135000000000000000e+07 2.625293192561825695e+00
7.136000000000000000e+07 2.623929715322214307e+00
7.137000000000000000e+07 2.622569971245241049e+00
7.138000000000000000e+07 2.621213960914712260e+00
7.139000000000000000e+07 2.619798002619571520e+00
7.140000000000000000e+07 2.618330827195269883e+00
7.141000000000000000e+07 2.616867847778256984e+00
7.142000000000000000e+07 2.615409064879416601e+00
7.143000000000000000e+07 2.613819607311705262e+00
7.144000000000000000e+07 2.612117177005898405e+00
7.145000000000000000e+07 2.610418716723033494e+00
7.146000000000000000e+07 2.608724235623868459e+00
7.147000000000000000e+07 2.607174240487292405e+00
7.148000000000000000e+07 2.605749706816426592e+00
7.149000000000000000e+07 2.604328837380712081e+00
7.150000000000000000e+07 2.602911634793788842e+00
7.151000000000000000e+07 2.601456910489389873e+00
7.152000000000000000e+07 2.599970314937496418e+00
7.153000000000000000e+07 2.598487525540436938e+00
7.154000000000000000e+07 2.597008545791294587e+00
7.155000000000000000e+07 2.595571273785384658e+00
7.156000000000000000e+07 2.594170570407799747e+00
7.157000000000000000e+07 2.592773685657177030e+00
7.158000000000000000e+07 2.591380620577536931e+00
7.159000000000000000e+07 2.590037854686181973e+00
7.160000000000000000e+07 2.588738869193300207e+00
7.161000000000000000e+07 2.587443492764958552e+00
7.162000000000000000e+07 2.586151725108697175e+00
7.163000000000000000e+07 2.584694893730179022e+00
7.164000000000000000e+07 2.583097065610411303e+00
7.165000000000000000e+07 2.581503918786821838e+00
7.166000000000000000e+07 2.579915454581628964e+00
7.167000000000000000e+07 2.578350195766170749e+00
7.168000000000000000e+07 2.576805151096498214e+00
7.169000000000000000e+07 2.575264246881768138e+00
7.170000000000000000e+07 2.573727486306341738e+00
7.171000000000000000e+07 2.572235230205303314e+00
7.172000000000000000e+07 2.570781294635721359e+00
7.173000000000000000e+07 2.569330808655176046e+00
7.174000000000000000e+07 2.567883776874618107e+00
7.175000000000000000e+07 2.566313464713626313e+00
7.176000000000000000e+07 2.564637605002408005e+00
7.177000000000000000e+07 2.562965048162621606e+00
7.178000000000000000e+07 2.561295805913924362e+00
7.179000000000000000e+07 2.559702625259367093e+00
7.180000000000000000e+07 2.558175126034699431e+00
7.181000000000000000e+07 2.556650886257988198e+00
7.182000000000000000e+07 2.555129913524139873e+00
7.183000000000000000e+07 2.553793593413517193e+00
7.184000000000000000e+07 2.552615880536529325e+00
7.185000000000000000e+07 2.551441297716107837e+00
7.186000000000000000e+07 2.550269844711774869e+00
7.187000000000000000e+07 2.549047913745523086e+00
7.188000000000000000e+07 2.547783523521165439e+00
7.189000000000000000e+07 2.546522649694037632e+00
7.190000000000000000e+07 2.545265291697464960e+00
7.191000000000000000e+07 2.543919492453817544e+00
7.192000000000000000e+07 2.542498689569756554e+00
7.193000000000000000e+07 2.541081532557338374e+00
7.194000000000000000e+07 2.539668024035889982e+00
7.195000000000000000e+07 2.538219049276140282e+00
7.196000000000000000e+07 2.536740541996060472e+00
7.197000000000000000e+07 2.535265972268543333e+00
7.198000000000000000e+07 2.533795342566296238e+00
7.199000000000000000e+07 2.532393218254296752e+00
7.200000000000000000e+07 2.531049625083939603e+00
7.201000000000000000e+07 2.529709358045361345e+00
7.202000000000000000e+07 2.528372419599821619e+00
7.203000000000000000e+07 2.526885050455808912e+00
7.204000000000000000e+07 2.525270454706421308e+00
7.205000000000000000e+07 2.523659746880733579e+00
7.206000000000000000e+07 2.522052933790383644e+00
7.207000000000000000e+07 2.520520820053601785e+00
7.208000000000000000e+07 2.519052679240678216e+00
7.209000000000000000e+07 2.517588227748525753e+00
7.210000000000000000e+07 2.516127469231687730e+00
7.211000000000000000e+07 2.514693888685169743e+00
7.212000000000000000e+07 2.513282993097142981e+00
7.213000000000000000e+07 2.511874546475949099e+00
7.214000000000000000e+07 2.510468557051086513e+00
7.215000000000000000e+07 2.508944505795012159e+00
7.216000000000000000e+07 2.507320606885820702e+00
7.217000000000000000e+07 2.505699166836448111e+00
7.218000000000000000e+07 2.504080199319637767e+00
7.219000000000000000e+07 2.502605007592300090e+00
7.220000000000000000e+07 2.501252759746013243e+00
7.221000000000000000e+07 2.499903880665267586e+00
7.222000000000000000e+07 2.498558372786168214e+00
7.223000000000000000e+07 2.497092634512899867e+00
7.224000000000000000e+07 2.495526586370429456e+00
7.225000000000000000e+07 2.493965176745086776e+00
7.226000000000000000e+07 2.492408406212077487e+00
7.227000000000000000e+07 2.490964309117087438e+00
7.228000000000000000e+07 2.489615947838452303e+00
7.229000000000000000e+07 2.488271875554043167e+00
7.230000000000000000e+07 2.486932088744065350e+00
7.231000000000000000e+07 2.485438531338827861e+00
7.232000000000000000e+07 2.483815145066266439e+00
7.233000000000000000e+07 2.482195261446591861e+00
7.234000000000000000e+07 2.480578889624235561e+00
7.235000000000000000e+07 2.479089487698114436e+00
7.236000000000000000e+07 2.477707788760534768e+00
7.237000000000000000e+07 2.476329654459102247e+00
7.238000000000000000e+07 2.474955086856247544e+00
7.239000000000000000e+07 2.473479576851731032e+00
7.240000000000000000e+07 2.471919075701557222e+00
7.241000000000000000e+07 2.470361510116504178e+00
7.242000000000000000e+07 2.468806890110841756e+00
7.243000000000000000e+07 2.467317734871623092e+00
7.244000000000000000e+07 2.465884747721725390e+00
7.245000000000000000e+07 2.464455499001968697e+00
7.246000000000000000e+07 2.463029991112692052e+00
7.247000000000000000e+07 2.461598770974501527e+00
7.248000000000000000e+07 2.460162734885019908e+00
7.249000000000000000e+07 2.458729655683035364e+00
7.250000000000000000e+07 2.457299540008885064e+00
7.251000000000000000e+07 2.455808516736450731e+00
7.252000000000000000e+07 2.454266858281501484e+00
7.253000000000000000e+07 2.452728210080231452e+00
7.254000000000000000e+07 2.451192581295690509e+00
7.255000000000000000e+07 2.449768253887787406e+00
7.256000000000000000e+07 2.448437947866983766e+00
7.257000000000000000e+07 2.447110927778965550e+00
7.258000000000000000e+07 2.445787195981232287e+00
7.259000000000000000e+07 2.444516786048052559e+00
7.260000000000000000e+07 2.443290667234781832e+00
7.261000000000000000e+07 2.442066673023279844e+00
7.262000000000000000e+07 2.440844808942230770e+00
7.263000000000000000e+07 2.439504790058470096e+00
7.264000000000000000e+07 2.438067497018388430e+00
7.265000000000000000e+07 2.436633919452621200e+00
7.266000000000000000e+07 2.435204060013445915e+00
7.267000000000000000e+07 2.433723007187980070e+00
